timestamp,tasks,stress,sleep,deadline,postureScore,cognitiveLoad,improvedLoad,risk,suggestion
2026-05-16 16:07:31.579709,6,6,6,7,5,98,68,High Overload,"You are overloaded. Focus on urgent tasks first, take break, adjust posture."
2026-05-16 16:07:31.628296,6,6,6,7,5,98,67,High Overload,"You are overloaded. Focus on urgent tasks first, take break, adjust posture."
2026-05-16 16:09:22.737992,6,5,6,7,5,94,69,High Overload,"You are overloaded. Focus on urgent tasks first, take break, adjust posture."
2026-05-16 16:09:23.882726,6,6,6,7,5,98,73,High Overload,"You are overloaded. Focus on urgent tasks first, take break, adjust posture."
2026-05-16 16:09:23.969951,6,7,6,7,5,100,70,High Overload,"You are overloaded. Focus on urgent tasks first, take break, adjust posture."
2026-05-16 16:09:27.013321,8,7,6,7,5,100,65,High Overload,"You are overloaded. Focus on urgent tasks first, take break, adjust posture."
2026-05-16 16:09:28.357347,8,7,6,6,5,100,62,High Overload,"You are overloaded. Focus on urgent tasks first, take break, adjust posture."
2026-05-16 16:09:30.513427,8,7,7,6,5,100,68,High Overload,"You are overloaded. Focus on urgent tasks first, take break, adjust posture."
2026-05-17 21:13:00.064847,6,6,6,7,5,98.2,69.17,High Overload,"You are overloaded. Focus on urgent tasks first, take break, adjust posture."
2026-05-17 21:13:02.133213,6,6,6,7,5,98.2,74.17,High Overload,"You are overloaded. Focus on urgent tasks first, take break, adjust posture."
2026-05-17 21:13:02.670382,6,6,6,7,5,95.6,60.56999999999999,High Overload,"You are overloaded. Focus on urgent tasks first, take break, adjust posture."
2026-05-17 21:13:02.750473,6,6,6,7,5,95.6,61.56999999999999,High Overload,"You are overloaded. Focus on urgent tasks first, take break, adjust posture."
2026-05-17 21:13:04.451508,6,6,6,7,5,95.6,69.57,High Overload,"You are overloaded. Focus on urgent tasks first, take break, adjust posture."
2026-05-17 21:13:06.853897,6,6,6,7,5,95.6,62.56999999999999,High Overload,"You are overloaded. Focus on urgent tasks first, take break, adjust posture."
2026-05-17 21:13:08.393709,6,6,6,7,5,95.6,66.57,High Overload,"You are overloaded. Focus on urgent tasks first, take break, adjust posture."
2026-05-17 21:13:10.570727,6,6,6,7,5,95.6,75.57,High Overload,"You are overloaded. Focus on urgent tasks first, take break, adjust posture."
2026-05-17 21:13:12.518313,6,6,6,7,5,95.6,61.56999999999999,High Overload,"You are overloaded. Focus on urgent tasks first, take break, adjust posture."
2026-05-17 21:13:14.632961,6,6,6,7,5,95.6,55.56999999999999,High Overload,"You are overloaded. Focus on urgent tasks first, take break, adjust posture."
2026-05-17 21:13:16.399222,6,6,6,7,5,95.6,65.57,High Overload,"You are overloaded. Focus on urgent tasks first, take break, adjust posture."
2026-05-17 21:13:18.411601,6,6,6,7,5,95.6,57.56999999999999,High Overload,"You are overloaded. Focus on urgent tasks first, take break, adjust posture."
